Número,Nome
815,Messejana / Papicu / Conjunto Tancredo Neves
816,Edson Queiroz / Centro
820,Papicu / Conjunto Alvorada
823,Bom Jardim / Montese / Aldeota
825,Cidade dos Funcionários / Papicu / Jardim das Oliveiras
831,Papicu / Hospital Geral / Cidade 2000
832,Papicu / Cidade 2000
833,Cidade 2000 / Centro
835,Defensoria / Papicu / Via Câmara
836,Conjunto Dona Yolanda Queiroz
841,HGF / Papicu / Riomar
855,Bezerra de Menezes / Washington Soares
901,Dom Luiz
903,Varjota
905,Meireles / Centro
906,Caça e Pesca / Serviluz / Centro
907,Castelo Encantado / Centro
913,Papicu / Serviluz / Varjota
920,Papicu / Caça e Pesca
